,Adj Close,Close,High,Low,Open,Volume
2007-01-02,9109.5927734375,12520.0,12540.0,12320.0,12400.0,17607300
2007-01-03,8934.966796875,12280.0,12560.0,12220.0,12540.0,19676500
2007-01-04,8818.548828125,12120.0,12240.0,12060.0,12220.0,18258900
2007-01-05,8658.4775390625,11900.0,12180.0,11900.0,12160.0,28400400
2007-01-08,8498.408203125,11680.0,11880.0,11580.0,11840.0,33081550
2007-01-09,8527.5087890625,11720.0,11880.0,11640.0,11740.0,20109850
2007-01-10,8411.091796875,11560.0,11680.0,11500.0,11640.0,25756300
2007-01-11,8483.8525390625,11660.0,11760.0,11560.0,11580.0,29839350
2007-01-12,8818.548828125,12120.0,12120.0,11700.0,11800.0,40346050
2007-01-15,8905.8603515625,12240.0,12300.0,12140.0,12240.0,33675300
2007-01-16,8920.412109375,12260.0,12300.0,12220.0,12300.0,15522550
2007-01-17,8760.3408203125,12040.0,12200.0,11940.0,12200.0,23396700
2007-01-18,8643.92578125,11880.0,11980.0,11780.0,11980.0,21762950
2007-01-19,8512.9599609375,11700.0,11760.0,11580.0,11760.0,32068050
2007-01-22,8600.2666015625,11820.0,11860.0,11660.0,11700.0,21204000
2007-01-23,8643.92578125,11880.0,12000.0,11760.0,11820.0,21732900
2007-01-24,8760.3408203125,12040.0,12080.0,11980.0,12000.0,14238300
2007-01-25,8774.892578125,12060.0,12160.0,12040.0,12120.0,11798550
2007-01-26,8556.61328125,11760.0,12000.0,11740.0,12000.0,37403750
2007-01-29,8411.091796875,11560.0,11820.0,11540.0,11800.0,28106550
2007-01-30,8512.9599609375,11700.0,11720.0,11500.0,11640.0,18857050
2007-01-31,8440.1962890625,11600.0,11700.0,11500.0,11700.0,18468100
2007-02-01,8425.642578125,11580.0,11680.0,11520.0,11520.0,20379600
2007-02-02,8556.61328125,11760.0,11820.0,11600.0,11660.0,25061700
2007-02-05,8527.5087890625,11720.0,11800.0,11660.0,11780.0,24227700
2007-02-06,8542.0625,11740.0,11760.0,11660.0,11700.0,14804600
2007-02-07,8527.5087890625,11720.0,11780.0,11600.0,11760.0,19521900
2007-02-08,8483.8525390625,11660.0,11800.0,11600.0,11760.0,25787500
2007-02-09,8483.8525390625,11660.0,11720.0,11580.0,11580.0,15724250
2007-02-12,8323.78125,11440.0,11600.0,11380.0,11600.0,43866750
2007-02-13,8178.2607421875,11240.0,11420.0,11200.0,11380.0,38350000
2007-02-14,8251.0185546875,11340.0,11460.0,11340.0,11340.0,31505450
2007-02-15,8367.439453125,11500.0,11640.0,11380.0,11620.0,31469800
2007-02-16,8614.8212890625,11840.0,11840.0,11480.0,11560.0,41500100
2007-02-20,8731.2421875,12000.0,12040.0,11760.0,11900.0,23313850
2007-02-21,8818.548828125,12120.0,12240.0,12000.0,12040.0,27616450
2007-02-22,8760.3408203125,12040.0,12240.0,12040.0,12120.0,18015000
2007-02-23,8614.8212890625,11840.0,12080.0,11800.0,12060.0,25999600
2007-02-26,8483.8525390625,11660.0,11780.0,11580.0,11740.0,29442950
2007-02-27,8454.7490234375,11620.0,11720.0,11500.0,11720.0,22474550
2007-02-28,8294.67578125,11400.0,11400.0,11160.0,11160.0,45093800
2007-03-01,8251.0185546875,11340.0,11340.0,11340.0,11340.0,0
2007-03-05,8221.916015625,11300.0,11440.0,11220.0,11240.0,27584250
2007-03-06,8309.232421875,11420.0,11580.0,11300.0,11300.0,27781400
2007-03-07,8294.67578125,11400.0,11520.0,11300.0,11500.0,26039150
2007-03-08,8396.5400390625,11540.0,11640.0,11340.0,11400.0,29056100
2007-03-09,8542.0625,11740.0,11780.0,11600.0,11660.0,30233000
2007-03-12,8760.3408203125,12040.0,12040.0,11800.0,11800.0,31691500
2007-03-13,8731.2421875,12000.0,12080.0,11860.0,12080.0,16828000
2007-03-14,8498.408203125,11680.0,11760.0,11600.0,11720.0,24902100
2007-03-15,8527.5087890625,11720.0,11840.0,11680.0,11700.0,21261300
2007-03-16,8571.1708984375,11780.0,11860.0,11620.0,11720.0,13671150
2007-03-19,8542.0625,11740.0,11800.0,11640.0,11740.0,11891200
2007-03-20,8425.642578125,11580.0,11740.0,11500.0,11700.0,21245000
2007-03-21,8425.642578125,11580.0,11700.0,11500.0,11620.0,12559600
2007-03-22,8469.30078125,11640.0,11780.0,11640.0,11700.0,22119900
2007-03-23,8440.1962890625,11600.0,11720.0,11520.0,11680.0,17271600
2007-03-26,8498.408203125,11680.0,11700.0,11560.0,11640.0,15899800
2007-03-27,8440.1962890625,11600.0,11660.0,11540.0,11640.0,18780200
2007-03-28,8323.78125,11440.0,11600.0,11400.0,11600.0,22607300
2007-03-29,8280.126953125,11380.0,11480.0,11280.0,11300.0,30754300
2007-03-30,8192.80859375,11260.0,11380.0,11240.0,11380.0,22767000
2007-04-02,8236.466796875,11320.0,11420.0,11280.0,11280.0,20035050
2007-04-03,8352.8818359375,11480.0,11560.0,11320.0,11340.0,19676650
2007-04-04,8658.4775390625,11900.0,11940.0,11620.0,11660.0,44768400
2007-04-05,8629.369140625,11860.0,12060.0,11820.0,12020.0,15772300
2007-04-06,8542.0625,11740.0,11960.0,11680.0,11920.0,15445750
2007-04-09,8498.408203125,11680.0,11800.0,11660.0,11800.0,12778300
2007-04-10,8411.091796875,11560.0,11780.0,11520.0,11680.0,22281600
2007-04-11,8716.6865234375,11980.0,12020.0,11660.0,11680.0,42482950
2007-04-12,8789.4423828125,12080.0,12080.0,11880.0,11940.0,34352850
2007-04-13,8760.3408203125,12040.0,12200.0,11900.0,12080.0,35876550
2007-04-16,8629.369140625,11860.0,12060.0,11860.0,11980.0,20227200
2007-04-17,8629.369140625,11860.0,11980.0,11760.0,11920.0,22060000
2007-04-18,8483.8525390625,11660.0,11820.0,11620.0,11800.0,25200000
2007-04-19,8323.78125,11440.0,11640.0,11360.0,11620.0,32114150
2007-04-20,8338.33203125,11460.0,11560.0,11420.0,11480.0,16748300
2007-04-23,8294.67578125,11400.0,11680.0,11400.0,11560.0,18575450
2007-04-24,8309.232421875,11420.0,11540.0,11360.0,11480.0,25104600
2007-04-25,8207.36328125,11280.0,11560.0,11240.0,11520.0,29520750
2007-04-26,8440.1962890625,11600.0,11620.0,11400.0,11400.0,27133550
2007-04-27,8440.1962890625,11600.0,11740.0,11460.0,11620.0,30426400
2007-04-30,8352.8818359375,11480.0,11660.0,11380.0,11600.0,18851000
2007-05-02,8367.439453125,11500.0,11600.0,11400.0,11400.0,16500000
2007-05-03,8352.8818359375,11480.0,11620.0,11460.0,11560.0,14666550
2007-05-04,8381.98828125,11520.0,11560.0,11480.0,11480.0,12117750
2007-05-07,8542.0625,11740.0,11740.0,11560.0,11600.0,29269050
2007-05-08,8469.30078125,11640.0,11860.0,11580.0,11760.0,30470000
